node_id,community,RNL
1294703,"1,1,",3
280411,"1,1,",3
796280,"1,1,",3
141972,"1,1,",3
579661,"1,1,",3
1123078,"1,1,",3
119049,"1,1,",3
665784,"1,1,",3
1271787,"1,1,",3
1136531,"1,1,",3
122109,"1,1,",3
1078741,"1,1,",3
309291,"1,1,",3
195595,"1,1,",3
1179882,"1,1,",3
1175841,"1,1,",3
177660,"1,1,",3
576521,"1,1,",3
348254,"1,1,",3
370778,"1,1,",3
921288,"1,1,",3
525043,"1,1,",3
64437,"1,1,",3
1109247,"1,1,",3
577883,"1,1,",3
347945,"1,1,",3
25058,"1,1,",3
262832,"1,1,",3
585456,"1,1,",3
825245,"1,1,",3
508281,"1,1,",3
1137695,"1,1,",3
269096,"1,1,",3
1270806,"1,1,",3
318683,"1,1,",3
1234268,"1,1,",3
872914,"1,1,",3
1188785,"1,1,",3
370827,"1,1,",3
48944,"1,1,",3
532516,"1,1,",3
289988,"1,1,",3
933727,"1,1,",3
433076,"1,1,",3
944809,"1,1,",3
8258,"1,1,",3
211181,"1,1,",3
457225,"1,1,",3
1156994,"1,1,",3
1131659,"1,1,",3
656902,"1,1,",3
541234,"1,1,",3
91723,"1,1,",3
356926,"1,1,",3
728271,"1,1,",3
929440,"1,1,",3
993535,"1,1,",3
595857,"1,1,",3
485804,"1,1,",3
469202,"1,1,",3
357761,"1,1,",3
972658,"1,1,",3
487759,"1,1,",3
1231808,"1,1,",3
1181311,"1,1,",3
826465,"1,1,",3
833257,"1,1,",3
1206075,"1,1,",3
1124717,"1,1,",3
441256,"1,1,",3
84537,"1,1,",3
1057129,"1,1,",3
198981,"1,1,",3
267223,"1,1,",3
522316,"1,1,",3
506026,"1,1,",3
462229,"1,1,",3
623396,"1,1,",3
258313,"1,1,",3
177511,"1,1,",3
1283304,"1,1,",3
396891,"1,1,",3
776083,"1,1,",3
641289,"1,1,",3
1009876,"1,1,",3
261251,"1,1,",3
599301,"1,1,",3
887512,"1,1,",3
163018,"1,1,",3
107894,"1,1,",3
960010,"1,1,",3
873639,"1,1,",3
1243055,"1,1,",3
