node_id,community,RNL
64541,"1,1,1,",2
566253,"1,1,1,",2
1235207,"1,1,1,",2
761141,"1,1,1,",2
218563,"1,1,1,",2
1017201,"1,1,1,",2
305891,"1,1,1,",2
1260161,"1,1,1,",2
599821,"1,1,1,",2
295374,"1,1,1,",2
233159,"1,1,1,",2
1083924,"1,1,1,",2
404898,"1,1,1,",2
421689,"1,1,1,",2
36323,"1,1,1,",2
1109823,"1,1,1,",2
852609,"1,1,1,",2
1182971,"1,1,1,",2
153378,"1,1,1,",2
799919,"1,1,1,",2
597649,"1,1,1,",2
689074,"1,1,1,",2
954479,"1,1,1,",2
1062566,"1,1,1,",2
755739,"1,1,1,",2
1174660,"1,1,1,",2
133208,"1,1,1,",2
836218,"1,1,1,",2
587372,"1,1,1,",2
689334,"1,1,1,",2
986668,"1,1,1,",2
1019614,"1,1,1,",2
623599,"1,1,1,",2
20481,"1,1,1,",2
117277,"1,1,1,",2
342597,"1,1,1,",2
249694,"1,1,1,",2
782051,"1,1,1,",2
484828,"1,1,1,",2
658360,"1,1,1,",2
1283866,"1,1,1,",2
630503,"1,1,1,",2
75709,"1,1,1,",2
1318887,"1,1,1,",2
1283837,"1,1,1,",2
714225,"1,1,1,",2
1172657,"1,1,1,",2
1081413,"1,1,1,",2
1117461,"1,1,1,",2
1061908,"1,1,1,",2
21173,"1,1,1,",2
1037283,"1,1,1,",2
55787,"1,1,1,",2
620735,"1,1,1,",2
35928,"1,1,1,",2
837079,"1,1,1,",2
1036129,"1,1,1,",2
518522,"1,1,1,",2
1224245,"1,1,1,",2
1171183,"1,1,1,",2
663298,"1,1,1,",2
1314456,"1,1,1,",2
704483,"1,1,1,",2
369225,"1,1,1,",2
551759,"1,1,1,",2
689404,"1,1,1,",2
1203156,"1,1,1,",2
934376,"1,1,1,",2
113262,"1,1,1,",2
885329,"1,1,1,",2
387868,"1,1,1,",2
270602,"1,1,1,",2
431932,"1,1,1,",2
568946,"1,1,1,",2
995577,"1,1,1,",2
125154,"1,1,1,",2
1314152,"1,1,1,",2
344812,"1,1,1,",2
463829,"1,1,1,",2
1258699,"1,1,1,",2
597387,"1,1,1,",2
1205211,"1,1,1,",2
1180074,"1,1,1,",2
293093,"1,1,1,",2
1110613,"1,1,1,",2
556069,"1,1,1,",2
433765,"1,1,1,",2
414453,"1,1,1,",2
819663,"1,1,1,",2
514303,"1,1,1,",2
355091,"1,1,1,",2
449042,"1,1,1,",2
163626,"1,1,1,",2
1299515,"1,1,1,",2
694093,"1,1,1,",2
694557,"1,1,1,",2
432444,"1,1,1,",2
969,"1,1,1,",2
907645,"1,1,1,",2
1207772,"1,1,1,",2
772166,"1,1,1,",2
1167893,"1,1,1,",2
859802,"1,1,1,",2
992590,"1,1,1,",2
289834,"1,1,1,",2
213261,"1,1,1,",2
1260549,"1,1,1,",2
202670,"1,1,1,",2
907158,"1,1,1,",2
43,"1,1,1,",2
87,"1,1,1,",2
265,"1,1,1,",2
556,"1,1,1,",2
669,"1,1,1,",2
831,"1,1,1,",2
1323,"1,1,1,",2
1803,"1,1,1,",2
2065,"1,1,1,",2
2432,"1,1,1,",2
2618,"1,1,1,",2
3082,"1,1,1,",2
3451,"1,1,1,",2
3474,"1,1,1,",2
3543,"1,1,1,",2
4656,"1,1,1,",2
4691,"1,1,1,",2
4885,"1,1,1,",2
5179,"1,1,1,",2
5293,"1,1,1,",2
5393,"1,1,1,",2
5948,"1,1,1,",2
6623,"1,1,1,",2
6845,"1,1,1,",2
7069,"1,1,1,",2
7558,"1,1,1,",2
7635,"1,1,1,",2
7783,"1,1,1,",2
7901,"1,1,1,",2
7943,"1,1,1,",2
8030,"1,1,1,",2
8095,"1,1,1,",2
8247,"1,1,1,",2
8394,"1,1,1,",2
8916,"1,1,1,",2
8927,"1,1,1,",2
8972,"1,1,1,",2
9281,"1,1,1,",2
9421,"1,1,1,",2
9779,"1,1,1,",2
10646,"1,1,1,",2
10792,"1,1,1,",2
11440,"1,1,1,",2
11446,"1,1,1,",2
11457,"1,1,1,",2
11711,"1,1,1,",2
12101,"1,1,1,",2
12181,"1,1,1,",2
12237,"1,1,1,",2
12243,"1,1,1,",2
12341,"1,1,1,",2
12625,"1,1,1,",2
12770,"1,1,1,",2
12830,"1,1,1,",2
13077,"1,1,1,",2
13092,"1,1,1,",2
13312,"1,1,1,",2
13543,"1,1,1,",2
14139,"1,1,1,",2
14875,"1,1,1,",2
15224,"1,1,1,",2
15376,"1,1,1,",2
15493,"1,1,1,",2
15935,"1,1,1,",2
16050,"1,1,1,",2
16475,"1,1,1,",2
17066,"1,1,1,",2
18056,"1,1,1,",2
18254,"1,1,1,",2
18370,"1,1,1,",2
18656,"1,1,1,",2
19007,"1,1,1,",2
19248,"1,1,1,",2
19281,"1,1,1,",2
19307,"1,1,1,",2
19371,"1,1,1,",2
19738,"1,1,1,",2
19744,"1,1,1,",2
19876,"1,1,1,",2
20086,"1,1,1,",2
20259,"1,1,1,",2
21166,"1,1,1,",2
21463,"1,1,1,",2
21470,"1,1,1,",2
21520,"1,1,1,",2
21524,"1,1,1,",2
21723,"1,1,1,",2
21920,"1,1,1,",2
22038,"1,1,1,",2
22162,"1,1,1,",2
22298,"1,1,1,",2
22532,"1,1,1,",2
23403,"1,1,1,",2
23453,"1,1,1,",2
23544,"1,1,1,",2
23697,"1,1,1,",2
24129,"1,1,1,",2
24285,"1,1,1,",2
24289,"1,1,1,",2
24315,"1,1,1,",2
24435,"1,1,1,",2
24757,"1,1,1,",2
24850,"1,1,1,",2
24858,"1,1,1,",2
24929,"1,1,1,",2
26086,"1,1,1,",2
26424,"1,1,1,",2
26724,"1,1,1,",2
27024,"1,1,1,",2
27162,"1,1,1,",2
27672,"1,1,1,",2
27787,"1,1,1,",2
27808,"1,1,1,",2
27889,"1,1,1,",2
28138,"1,1,1,",2
28451,"1,1,1,",2
28469,"1,1,1,",2
28472,"1,1,1,",2
28703,"1,1,1,",2
28888,"1,1,1,",2
28911,"1,1,1,",2
28953,"1,1,1,",2
