node_id,community,RNL
17283,"1,1,",3
18284,"1,1,",3
18700,"1,1,",3
19470,"1,1,",3
20365,"1,1,",3
20629,"1,1,",3
20907,"1,1,",3
22326,"1,1,",3
22429,"1,1,",3
22952,"1,1,",3
23279,"1,1,",3
23609,"1,1,",3
23722,"1,1,",3
23901,"1,1,",3
24548,"1,1,",3
24618,"1,1,",3
25207,"1,1,",3
25696,"1,1,",3
25955,"1,1,",3
26323,"1,1,",3
27252,"1,1,",3
27562,"1,1,",3
28531,"1,1,",3
28548,"1,1,",3
29129,"1,1,",3
29729,"1,1,",3
30492,"1,1,",3
30493,"1,1,",3
31267,"1,1,",3
31704,"1,1,",3
31998,"1,1,",3
32146,"1,1,",3
32375,"1,1,",3
32691,"1,1,",3
33307,"1,1,",3
33688,"1,1,",3
34012,"1,1,",3
34013,"1,1,",3
34778,"1,1,",3
35075,"1,1,",3
35432,"1,1,",3
35581,"1,1,",3
35855,"1,1,",3
36535,"1,1,",3
36700,"1,1,",3
36809,"1,1,",3
37241,"1,1,",3
38695,"1,1,",3
38892,"1,1,",3
39910,"1,1,",3
39978,"1,1,",3
41672,"1,1,",3
42130,"1,1,",3
43356,"1,1,",3
43400,"1,1,",3
44060,"1,1,",3
44083,"1,1,",3
44855,"1,1,",3
45830,"1,1,",3
45838,"1,1,",3
46152,"1,1,",3
46245,"1,1,",3
46705,"1,1,",3
47269,"1,1,",3
47371,"1,1,",3
47589,"1,1,",3
47665,"1,1,",3
47690,"1,1,",3
47720,"1,1,",3
47864,"1,1,",3
48443,"1,1,",3
48722,"1,1,",3
49450,"1,1,",3
50586,"1,1,",3
51202,"1,1,",3
52585,"1,1,",3
52749,"1,1,",3
53098,"1,1,",3
53810,"1,1,",3
53812,"1,1,",3
53823,"1,1,",3
54060,"1,1,",3
55673,"1,1,",3
57119,"1,1,",3
58012,"1,1,",3
58062,"1,1,",3
58515,"1,1,",3
58764,"1,1,",3
58791,"1,1,",3
59734,"1,1,",3
60987,"1,1,",3
61448,"1,1,",3
61768,"1,1,",3
61824,"1,1,",3
62297,"1,1,",3
63043,"1,1,",3
63238,"1,1,",3
63679,"1,1,",3
64066,"1,1,",3
64634,"1,1,",3
64721,"1,1,",3
65417,"1,1,",3
65652,"1,1,",3
66122,"1,1,",3
66129,"1,1,",3
67025,"1,1,",3
67324,"1,1,",3
68404,"1,1,",3
